date,hometeam,awayteam,fthg,ftag,played
2020-02-22,Chelsea,Tottenham,2,1,True
2020-02-22,Southampton,Aston Villa,2,0,True
2020-02-22,Sheffield Utd,Brighton,1,1,True
2020-02-22,Burnley,Bournemouth,3,0,True
2020-02-22,Crystal Palace,Newcastle Utd,1,0,True
2020-02-22,Leicester City,Manchester City,0,1,True
2020-02-23,Wolves,Norwich City,3,0,True
2020-02-23,Manchester Utd,Watford,3,0,True
2020-02-23,Arsenal,Everton,3,2,True
2020-02-24,Liverpool,West Ham,3,2,True
2020-02-28,Norwich City,Leicester City,1,0,True
2020-02-29,Brighton,Crystal Palace,0,1,True
2020-02-29,Bournemouth,Chelsea,2,2,True
2020-02-29,West Ham,Southampton,3,1,True
2020-02-29,Newcastle Utd,Burnley,0,0,True
2020-02-29,Watford,Liverpool,3,0,True
2020-03-01,Everton,Manchester Utd,1,1,True
2020-03-01,Tottenham,Wolves,2,3,True
2020-03-07,Liverpool,Bournemouth,2,1,True
2020-03-07,Sheffield Utd,Norwich City,1,0,True
2020-03-07,Wolves,Brighton,0,0,True
2020-03-07,Southampton,Newcastle Utd,0,1,True
2020-03-07,Arsenal,West Ham,1,0,True
2020-03-07,Crystal Palace,Watford,1,0,True
2020-03-07,Burnley,Tottenham,1,1,True
2020-03-08,Chelsea,Everton,4,0,True
2020-03-08,Manchester Utd,Manchester City,2,0,True
2020-03-09,Leicester City,Aston Villa,4,0,True
2020-06-17,Aston Villa,Sheffield Utd,0,0,True
2020-06-17,Manchester City,Arsenal,3,0,True
2020-06-19,Norwich City,Southampton,0,3,True
2020-06-19,Tottenham,Manchester Utd,1,1,True
2020-06-20,Watford,Leicester City,1,1,True
2020-06-20,Brighton,Arsenal,2,1,True
2020-06-20,West Ham,Wolves,0,2,True
2020-06-20,Bournemouth,Crystal Palace,0,2,True
2020-06-21,Newcastle Utd,Sheffield Utd,3,0,True
2020-06-21,Aston Villa,Chelsea,1,2,True
2020-06-21,Everton,Liverpool,0,0,True
2020-06-22,Manchester City,Burnley,5,0,True
2020-06-23,Leicester City,Brighton,0,0,True
2020-06-23,Tottenham,West Ham,2,0,True
2020-06-24,Manchester Utd,Sheffield Utd,3,0,True
2020-06-24,Newcastle Utd,Aston Villa,1,1,True
2020-06-24,Norwich City,Everton,0,1,True
2020-06-24,Wolves,Bournemouth,1,0,True
2020-06-24,Liverpool,Crystal Palace,4,0,True
2020-06-25,Southampton,Arsenal,0,2,True
2020-06-25,Burnley,Watford,1,0,True
2020-06-25,Chelsea,Manchester City,2,1,True
2020-06-27,Aston Villa,Wolves,0,1,True
2020-06-28,Watford,Southampton,1,3,True
2020-06-29,Crystal Palace,Burnley,0,1,True
2020-06-30,Brighton,Manchester Utd,0,3,True
